,county_state,UV
622,Mason_IL,4122
623,Massac_IL,4313
624,Menard_IL,4146
625,Mercer_IL,4032
626,Monroe_IL,4269
627,Montgomery_IL,4201
628,Morgan_IL,4180
629,Moultrie_IL,4137
630,Ogle_IL,3921
631,Peoria_IL,4041
632,Perry_IL,4271
633,Piatt_IL,4095
634,Pike_IL,4203
635,Pope_IL,4291
636,Pulaski_IL,4328
637,Putnam_IL,3983
638,Randolph_IL,4281
639,Richland_IL,4197
640,Rock Island_IL,4002
641,St. Clair_IL,4253
642,Saline_IL,4272
643,Sangamon_IL,4169
644,Schuyler_IL,4146
645,Scott_IL,4191
646,Shelby_IL,4168
647,Stark_IL,4007
648,Stephenson_IL,3920
649,Tazewell_IL,4071
650,Union_IL,4309
651,Vermilion_IL,4046
652,Wabash_IL,4206
653,Warren_IL,4064
654,Washington_IL,4254
655,Wayne_IL,4226
656,White_IL,4240
657,Whiteside_IL,3959
658,Will_IL,3911
659,Williamson_IL,4284
660,Winnebago_IL,3909
661,Woodford_IL,4022
662,Adams_IN,3895
663,Allen_IN,3865
664,Bartholomew_IN,4090
665,Benton_IN,3977
666,Blackford_IN,3927
667,Boone_IN,4032
668,Brown_IN,4108
669,Carroll_IN,3961
670,Cass_IN,3926
671,Clark_IN,4107
672,Clay_IN,4123
673,Clinton_IN,3997
674,Crawford_IN,4155
675,Daviess_IN,4168
676,Dearborn_IN,4021
677,Decatur_IN,4050
678,DeKalb_IN,3843
679,Delaware_IN,3957
680,Dubois_IN,4175
681,Elkhart_IN,3823
682,Fayette_IN,4001
683,Floyd_IN,4121
684,Fountain_IN,4044
685,Franklin_IN,4010
686,Fulton_IN,3883
687,Gibson_IN,4205
688,Grant_IN,3934
689,Greene_IN,4145
690,Hamilton_IN,4015
691,Hancock_IN,4028
692,Harrison_IN,4139
693,Hendricks_IN,4071
694,Henry_IN,3987
695,Howard_IN,3957
696,Huntington_IN,3891
697,Jackson_IN,4112
698,Jasper_IN,3919
699,Jay_IN,3922
700,Jefferson_IN,4073
701,Jennings_IN,4079
702,Johnson_IN,4084
703,Knox_IN,4180
