,county_state,poppct_urban,poppct_rural
318,Sussex_DE,58.7,41.3
319,District of Columbia_DC,100.0,0.0
320,Alachua_FL,78.81,21.19
321,Baker_FL,40.51,59.49
322,Bay_FL,88.0,12.0
323,Bradford_FL,24.47,75.53
324,Brevard_FL,94.93,5.07
325,Broward_FL,99.98,0.02
326,Calhoun_FL,32.49,67.51
327,Charlotte_FL,91.12,8.88
328,Citrus_FL,65.48,34.52
329,Clay_FL,85.03,14.97
330,Collier_FL,91.51,8.49
331,Columbia_FL,37.94,62.06
332,DeSoto_FL,53.76,46.24
333,Dixie_FL,22.98,77.02
334,Duval_FL,97.09,2.91
335,Escambia_FL,91.7,8.3
336,Flagler_FL,89.68,10.32
337,Franklin_FL,31.96,68.04
338,Gadsden_FL,34.62,65.38
339,Gilchrist_FL,16.08,83.92
340,Glades_FL,29.36,70.64
341,Gulf_FL,22.91,77.09
342,Hamilton_FL,36.52,63.48
343,Hardee_FL,52.19,47.81
344,Hendry_FL,62.11,37.89
345,Hernando_FL,80.62,19.38
346,Highlands_FL,78.93,21.07
347,Hillsborough_FL,96.49,3.51
348,Holmes_FL,21.23,78.77
349,Indian River_FL,95.03,4.97
350,Jackson_FL,24.64,75.36
351,Jefferson_FL,0.0,100.0
352,Lafayette_FL,0.0,100.0
353,Lake_FL,80.75,19.25
354,Lee_FL,94.18,5.82
355,Leon_FL,87.69,12.31
356,Levy_FL,7.95,92.05
357,Liberty_FL,0.0,100.0
358,Madison_FL,19.99,80.01
359,Manatee_FL,94.21,5.79
360,Marion_FL,68.97,31.03
361,Martin_FL,91.52,8.48
362,Miami-Dade_FL,99.6,0.4
363,Monroe_FL,91.29,8.71
364,Nassau_FL,51.85,48.15
365,Okaloosa_FL,87.9,12.1
366,Okeechobee_FL,63.45,36.55
367,Orange_FL,97.96,2.04
368,Osceola_FL,92.18,7.82
369,Palm Beach_FL,98.96,1.04
370,Pasco_FL,90.53,9.47
371,Pinellas_FL,99.72,0.28
372,Polk_FL,86.49,13.51
373,Putnam_FL,43.84,56.16
374,St. Johns_FL,76.23,23.77
375,St. Lucie_FL,96.64,3.36
376,Santa Rosa_FL,79.01,20.99
377,Sarasota_FL,95.68,4.32
378,Seminole_FL,96.84,3.16
379,Sumter_FL,65.04,34.96
380,Suwannee_FL,16.83,83.17
381,Taylor_FL,30.72,69.28
382,Union_FL,32.55,67.45
383,Volusia_FL,90.06,9.94
384,Wakulla_FL,38.32,61.68
385,Walton_FL,36.87,63.13
386,Washington_FL,15.45,84.55
387,Appling_GA,28.56,71.44
388,Atkinson_GA,0.0,100.0
389,Bacon_GA,30.71,69.29
390,Baker_GA,0.0,100.0
391,Baldwin_GA,64.86,35.14
392,Banks_GA,6.17,93.83
393,Barrow_GA,69.94,30.06
394,Bartow_GA,64.77,35.23
395,Ben Hill_GA,66.0,34.0
396,Berrien_GA,23.86,76.14
397,Bibb_GA,85.59,14.41
398,Bleckley_GA,48.41,51.59
399,Brantley_GA,0.55,99.45
400,Brooks_GA,28.96,71.04
401,Bryan_GA,47.66,52.34
402,Bulloch_GA,51.72,48.28
403,Burke_GA,25.0,75.0
404,Butts_GA,22.06,77.94
405,Calhoun_GA,0.0,100.0
406,Camden_GA,68.56,31.44
407,Candler_GA,33.03,66.97
408,Carroll_GA,58.17,41.83
409,Catoosa_GA,71.9,28.1
410,Charlton_GA,48.98,51.02
411,Chatham_GA,95.5,4.5
412,Chattahoochee_GA,70.48,29.52
413,Chattooga_GA,42.44,57.56
414,Cherokee_GA,82.9,17.1
415,Clarke_GA,94.14,5.86
416,Clay_GA,0.0,100.0
417,Clayton_GA,99.11,0.89
418,Clinch_GA,39.57,60.43
419,Cobb_GA,99.75,0.25
420,Coffee_GA,33.42,66.58
421,Colquitt_GA,41.05,58.95
422,Columbia_GA,83.77,16.23
423,Cook_GA,40.59,59.41
424,Coweta_GA,67.07,32.93
425,Crawford_GA,0.0,100.0
426,Crisp_GA,52.97,47.03
427,Dade_GA,27.87,72.13
428,Dawson_GA,19.69,80.31
429,Decatur_GA,43.52,56.48
430,DeKalb_GA,99.74,0.26
431,Dodge_GA,27.77,72.23
432,Dooly_GA,46.33,53.67
433,Dougherty_GA,86.04,13.96
434,Douglas_GA,84.24,15.76
435,Early_GA,34.05,65.95
436,Echols_GA,0.0,100.0
437,Effingham_GA,32.95,67.05
438,Elbert_GA,29.38,70.62
439,Emanuel_GA,33.12,66.88
440,Evans_GA,38.72,61.28
441,Fannin_GA,0.0,100.0
442,Fayette_GA,81.82,18.18
443,Floyd_GA,63.18,36.82
444,Forsyth_GA,90.08,9.92
445,Franklin_GA,11.07,88.93
446,Fulton_GA,98.92,1.08
447,Gilmer_GA,12.36,87.64
448,Glascock_GA,0.0,100.0
449,Glynn_GA,79.43,20.57
450,Gordon_GA,48.44,51.56
451,Grady_GA,37.64,62.36
452,Greene_GA,17.25,82.75
453,Gwinnett_GA,99.51,0.49
454,Habersham_GA,41.24,58.76
455,Hall_GA,79.44,20.56
456,Hancock_GA,38.41,61.59
457,Haralson_GA,22.64,77.36
458,Harris_GA,3.32,96.68
459,Hart_GA,25.53,74.47
460,Heard_GA,0.0,100.0
461,Henry_GA,86.15,13.85
462,Houston_GA,90.04,9.96
463,Irwin_GA,35.29,64.71
464,Jackson_GA,39.99,60.01
465,Jasper_GA,18.24,81.76
466,Jeff Davis_GA,30.49,69.51
467,Jefferson_GA,19.33,80.67
468,Jenkins_GA,33.9,66.1
469,Johnson_GA,34.59,65.41
470,Jones_GA,32.29,67.71
471,Lamar_GA,39.13,60.87
472,Lanier_GA,28.87,71.13
473,Laurens_GA,43.36,56.64
474,Lee_GA,63.77,36.23
475,Liberty_GA,76.84,23.16
476,Lincoln_GA,0.0,100.0
477,Long_GA,18.66,81.34
478,Lowndes_GA,72.8,27.2
479,Lumpkin_GA,16.06,83.94
480,McDuffie_GA,39.04,60.96
481,McIntosh_GA,25.69,74.31
482,Macon_GA,46.81,53.19
483,Madison_GA,8.12,91.88
484,Marion_GA,0.0,100.0
485,Meriwether_GA,16.72,83.28
486,Miller_GA,0.0,100.0
487,Mitchell_GA,45.49,54.51
488,Monroe_GA,19.77,80.23
489,Montgomery_GA,1.29,98.71
490,Morgan_GA,24.63,75.37
